,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Modulus
4857,11.76470588,0,58.82352941,0,0,0,11.76470588,17.64705882,0,0,0,0,0,0,0,0,0,54.1575
4858,14.28571429,0,57.14285714,0,0,0,14.28571429,14.28571429,0,0,0,0,0,0,0,0,0,75.6375
4859,7.647058824,0,60.88235294,0,0,0,11.76470588,19.70588235,0,0,0,0,0,0,0,0,0,78.224
4860,5.988023952,2.694610778,59.58083832,0,4.790419162,0,7.48502994,19.46107784,0,0,0,0,0,0,0,0,0,122.3333333
4861,10.77844311,2.694610778,59.58083832,0,0,0,7.48502994,19.46107784,0,0,0,0,0,0,0,0,0,63
4862,18.75,0,56.25,0,0,0,6.25,18.75,0,0,0,0,0,0,0,0,0,66
4863,0,0,56.25,0,18.75,0,6.25,18.75,0,0,0,0,0,0,0,0,0,77
4864,0,0,60.08711283,0,10.69551991,0,0,25.52198562,0,0,3.695381637,0,0,0,0,0,0,74
4865,0,30.23255814,53.48837209,0,16.27906977,0,0,0,0,0,0,0,0,0,0,0,0,74
4866,0,0,60.78431373,0,0,0,0,21.56862745,0,0,0,0,0,0,0,0,17.64705882,75
4867,0,0,61.11,0,11.11333333,0,0,27.77666667,0,0,0,0,0,0,0,0,0,77
4868,16.44736842,0,58.55263158,0,0,0,0,24.34210526,0.657894737,0,0,0,0,0,0,0,0,96
4869,0,0,66.66666667,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,86
4870,1.460823373,0,62.0185923,0,7.70252324,0,0.398406375,25.59760956,0,0,0,0,0,0,2.822045153,0,0,89
4871,0,2.597402597,61.03896104,0,10.38961039,0,0,25.97402597,0,0,0,0,0,0,0,0,0,63.73
4872,0,5.063291139,60.75949367,0,10.12658228,0,0,24.05063291,0,0,0,0,0,0,0,0,0,91.31666667
4873,0,9.638554217,60.24096386,0,9.638554217,0,0,20.48192771,0,0,0,0,0,0,0,0,0,72.915
