,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Expansion
145,0,17.1875,63.20227888,0,0,0,0,17.81080776,0,0,0,0,0,0,0,0,1.799413357,37
146,0,15.31534149,63.29198501,0,0,0,0,18.92629928,0,0,0,0,0,0,0,0,2.466374227,40
147,0,13.19288137,63.39245521,0,0,0,0,20.18846973,0,0,0,0,0,0,0,0,3.226193692,39
148,0,8.028961148,63.66280949,0,0,0,0,23.31113841,0,0,0,0,0,0,0,0,4.997090956,42
149,0,24.86584995,62.25574567,0,0,0,0,12.07856637,0,0,0,0,0,0,0,0,0.799838007,54
150,0,22.61980156,62.30472873,0,0,0,0,13.29955668,0,0,0,0,0,0,0,0,1.775913025,48
151,0,19.14274523,62.45033854,0,0,0,0,15.32930446,0,0,0,0,0,0,0,0,3.077611773,46
152,0,15.01301966,62.56322768,0,0,0,0,17.61994553,0,0,0,0,0,0,0,0,4.803807129,47
153,0,9.275627018,62.74746421,0,0,0,0,20.8571149,0,0,0,0,0,0,0,0,7.119793875,53
154,0,26.95990425,61.58487931,0,0,0,0,9.689806503,0,0,0,0,0,0,0,0,1.765409934,59
155,0,24.34882868,61.62150831,0,0,0,0,11.06860227,0,0,0,0,0,0,0,0,2.961060741,55
156,0,20.98638224,61.66142193,0,0,0,0,12.82965273,0,0,0,0,0,0,0,0,4.522543095,54
157,0,16.95624869,61.61667514,0,0,0,0,14.75522593,0,0,0,0,0,0,0,0,6.671850235,53
158,0,10.73621657,61.62099703,0,0,0,0,17.87388577,0,0,0,0,0,0,0,0,9.768900627,79
159,0,32.49465399,61.00596023,0,0,0,0,5.764593476,0,0,0,0,0,0,0,0,0.734792302,78
160,0,31.37245711,60.87700384,0,0,0,0,6.067779132,0,0,0,0,0,0,0,0,1.682759914,71
161,0,29.30058101,60.83449781,0,0,0,0,7.018705107,0,0,0,0,0,0,0,0,2.846216077,63
162,0,27.0039151,60.7407789,0,0,0,0,7.979600247,0,0,0,0,0,0,0,0,4.275705749,60
163,0,23.54402429,60.62655258,0,0,0,0,9.481093017,0,0,0,0,0,0,0,0,6.348330113,62
164,0,18.93786671,60.44531368,0,0,0,0,11.421694,0,0,0,0,0,0,0,0,9.195125621,63
165,0,12.45881799,60.15262556,0,0,0,0,14.07584213,0,0,0,0,0,0,0,0,13.31271431,79
166,0,35.25770005,60.26046388,0,0,0,0,2.892077741,0,0,0,0,0,0,0,0,1.58975833,89
167,0,33.93503459,60.12507445,0,0,0,0,3.282631603,0,0,0,0,0,0,0,0,2.657259358,82
168,0,32.30081087,59.93015524,0,0,0,0,3.70990504,0,0,0,0,0,0,0,0,4.059128854,69
169,0,30.02832861,59.69243221,0,0,0,0,4.370700121,0,0,0,0,0,0,0,0,5.908539053,64
170,0,26.96653629,59.35462842,0,0,0,0,5.225988701,0,0,0,0,0,0,0,0,8.452846588,70
171,0,22.36076974,58.84539296,0,0,0,0,6.510401055,0,0,0,0,0,0,0,0,12.28343624,76
172,0,14.97946364,57.99882649,0,0,0,0,8.507921168,0,0,0,0,0,0,0,0,18.5137887,98
173,0,0,69.31818182,0,0,0,0,0.909090909,15.90909091,0,0,13.86363636,0,0,0,0,0,55
174,0,0,69.04761905,0,0,0,0,0.476190476,14.28571429,0,0,16.19047619,0,0,0,0,0,47
175,0,0,68.75,0,0,0,0,0.5,12.5,0,0,18.25,0,0,0,0,0,45.3
176,0,0,68.42105263,0,0,0,0,1.315789474,10.52631579,0,0,19.73684211,0,0,0,0,0,39.8
177,0,5.809049688,65.38668865,0,0,0,0,27.86885246,0,0,0,0,0,0,0,0,0.935409202,21
178,0,7.125992702,64.10020544,0,2.45914206,0,0.895348481,25.41931132,0,0,0,0,0,0,0,0,0,32.5
179,0,0,59.74632616,0,10.74704218,1.48999284,0.893313785,24.73660882,0,0.654642163,1.588871083,0,0.020457568,0,0,0.122745406,0,102
195,0,0,62.06896552,0,0,0,6.896551724,20.68965517,0,0,0,0,0,0,0,10.34482759,0,79
199,0,0,62.06896552,0,0,0,6.896551724,20.68965517,0,0,0,0,0,10.34482759,0,0,0,73
206,0,0,59.25925926,0,0,0,7.407407407,14.81481481,0,0,0,0,0,0,0,18.51851852,0,106
207,0,0,59.25925926,0,0,0,7.407407407,14.81481481,0,0,0,0,0,18.51851852,0,0,0,97
208,0,0,59.25925926,0,0,18.51851852,7.407407407,14.81481481,0,0,0,0,0,0,0,0,0,63
209,0,0,59.64912281,0,0,0,10.52631579,14.03508772,0,0,0,0,0,0,0,15.78947368,0,94
210,0,0,59.64912281,0,0,0,10.52631579,14.03508772,0,0,0,0,0,15.78947368,0,0,0,89
211,0,0,59.64912281,0,0,0,10.52631579,14.03508772,0,0,15.78947368,0,0,0,0,0,0,79
212,0,0,60,0,0,0,7.272727273,16.36363636,0,0,0,0,0,0,0,16.36363636,0,101
213,0,0,60.34482759,0,0,0,10.34482759,15.51724138,0,0,0,0,0,0,0,13.79310345,0,90
214,0,0,60.34482759,0,0,0,10.34482759,15.51724138,0,0,0,0,0,13.79310345,0,0,0,84
215,0,0,60.34482759,0,0,13.79310345,10.34482759,15.51724138,0,0,0,0,0,0,0,0,0,52.5
216,0,0,60.6557377,0,0,0,13.1147541,14.75409836,0,0,11.47540984,0,0,0,0,0,0,66
217,0,0,60.71428571,0,0,0,7.142857143,17.85714286,0,0,0,0,0,0,0,14.28571429,0,96
218,0,0,60.71428571,0,0,0,7.142857143,17.85714286,0,0,0,0,0,14.28571429,0,0,0,87
219,0,0,61.01694915,0,0,0,10.16949153,16.94915254,0,0,0,0,0,0,0,11.86440678,0,85
220,0,0,61.01694915,0,0,0,10.16949153,16.94915254,0,0,0,0,0,11.86440678,0,0,0,79
221,0,0,61.11111111,0,0,0,3.703703704,20.37037037,0,0,0,0,0,0,0,14.81481481,0,103
222,0,0,61.11111111,0,0,0,3.703703704,20.37037037,0,0,0,0,0,14.81481481,0,0,0,92
223,0,0,61.11111111,0,0,0,3.703703704,20.37037037,0,0,14.81481481,0,0,0,0,0,0,82
224,0,0,61.11111111,0,0,14.81481481,3.703703704,20.37037037,0,0,0,0,0,0,0,0,0,58
225,0,0,61.40350877,0,0,0,7.01754386,19.29824561,0,0,0,0,0,0,0,12.28070175,0,87.5
226,0,0,61.40350877,0,0,0,7.01754386,19.29824561,0,0,0,0,0,12.28070175,0,0,0,80
227,0,0,61.66666667,0,0,0,10,18.33333333,0,0,0,0,0,0,0,10,0,81
228,0,0,61.66666667,0,0,0,10,18.33333333,0,0,0,0,0,10,0,0,0,73
229,0,0,62.71186441,0,0,0,6.779661017,22.03389831,0,0,0,0,0,0,0,8.474576271,0,75
230,0,0,62.71186441,0,0,0,6.779661017,22.03389831,0,0,0,0,0,8.474576271,0,0,0,67
231,0,9.090909091,62.12121212,0,5.454545455,0,0,22.72727273,0,0.606060606,0,0,0,0,0,0,0,60.1
232,0,9.090909091,62.12121212,0,4.242424242,0,0,22.72727273,0,1.818181818,0,0,0,0,0,0,0,61.4
233,0,9.090909091,62.12121212,0,3.636363636,0,0,22.72727273,0,2.424242424,0,0,0,0,0,0,0,60.9
234,0,9.090909091,62.12121212,0,3.03030303,0,0,22.72727273,0,3.03030303,0,0,0,0,0,0,0,62.2
235,0,9.090909091,62.12121212,0,2.424242424,0,0,22.72727273,0,3.636363636,0,0,0,0,0,0,0,64.2
236,0,9.090909091,62.12121212,0,1.818181818,0,0,22.72727273,0,4.242424242,0,0,0,0,0,0,0,65.4
237,0,9.090909091,62.12121212,0,0.606060606,0,0,22.72727273,0,5.454545455,0,0,0,0,0,0,0,70.7
238,0,9.090909091,62.12121212,0,0,0,0,22.72727273,0,6.060606061,0,0,0,0,0,0,0,66.5
247,0,0,55.56666667,0,22.2,0,0,22.23333333,0,0,0,0,0,0,0,0,0,155.4
248,0,9.666117682,63.389729,0,2.53331337,0,0.509058242,23.27294505,0,0.628836652,0,0,0,0,0,0,0,40
249,0,10.26003892,62.53021994,0,2.665251489,0,1.291349726,21.49596085,0,1.757179079,0,0,0,0,0,0,0,52
250,0,15.61432013,64.00638691,0,0,0,0.347358395,20.03193456,0,0,0,0,0,0,0,0,0,30.3
251,0,14.98601418,64.12849999,0,0,0,0.242985901,20.64249993,0,0,0,0,0,0,0,0,0,32.6
252,0,11.7356973,64.67549241,0,0,0,0.211348226,23.37746206,0,0,0,0,0,0,0,0,0,33.5
253,0,12.12279178,64.48016218,0,0,0,0.996235158,22.40081089,0,0,0,0,0,0,0,0,0,29.1
254,0,11.12199055,64.39926276,0,0,0,2.482432899,21.99631379,0,0,0,0,0,0,0,0,0,28.6
255,0,10.05480242,64.42169022,0,0,0,3.415056245,22.10845111,0,0,0,0,0,0,0,0,0,25.2
256,0,7.509083569,64.41836323,0,0,0,5.980737067,22.09181614,0,0,0,0,0,0,0,0,0,26.2
257,0,4.461010184,64.67290817,0,0,0,7.501540809,23.36454084,0,0,0,0,0,0,0,0,0,26.6
258,0,12.02016058,64.6515853,0,0,0,0.070327609,23.25792651,0,0,0,0,0,0,0,0,0,30.8
259,0,10.9886202,64.81744903,0,0,0,0.106685633,24.08724514,0,0,0,0,0,0,0,0,0,29.6
260,0,9.895770936,64.97544028,0,0,0,0.251587397,24.87720139,0,0,0,0,0,0,0,0,0,28
261,0,8.802369869,65.11395925,0,0,0,0.513874615,25.56979626,0,0,0,0,0,0,0,0,0,24
262,0,8.507310029,65.04121292,0,0,0,1.24541243,25.20606462,0,0,0,0,0,0,0,0,0,18.7
263,0,7.393559281,65.07658907,0,0,0,2.146906284,25.38294536,0,0,0,0,0,0,0,0,0,18.7
264,0,6.049434943,65.10847888,0,0,0,3.299691787,25.54239439,0,0,0,0,0,0,0,0,0,18.2
266,0,3.645707376,65.11487304,0,0,0,5.665054414,25.57436518,0,0,0,0,0,0,0,0,0,20.5
267,0,2.712131784,65.16700543,0,0,0,6.285835634,25.83502715,0,0,0,0,0,0,0,0,0,18.9
268,0,9.40459673,65.08113651,0,0,0,0.108584183,25.40568257,0,0,0,0,0,0,0,0,0,20.7
269,0,7.43597655,65.42733724,0,0,0,0,27.13668621,0,0,0,0,0,0,0,0,0,21.3
270,0,5.931220414,65.67290511,0,0,0,0.031348945,28.36452553,0,0,0,0,0,0,0,0,0,15.7
330,0,0,57.8125,0,15.625,0,6.25,20.3125,0,0,0,0,0,0,0,0,0,122
349,0,0,60.37735849,0,0,0,3.773584906,18.86792453,0,0,0,0,0,16.98113208,0,0,0,82
350,0,0,59.61538462,0,0,0,3.846153846,17.30769231,0,0,0,0,0,19.23076923,0,0,0,85.5
351,0,0,62.50042969,0,0,9.374033206,6.249355471,21.87618164,0,0,0,0,0,0,0,0,0,34
352,0,0,62.68632215,0,0,7.46273557,8.956595968,20.89434631,0,0,0,0,0,0,0,0,0,32
353,0,0,61.53899408,0,0,11.53726332,7.691508879,19.23223372,0,0,0,0,0,0,0,0,0,38
354,0,0,61.81812232,0,0,9.090611604,10.91004287,18.18122321,0,0,0,0,0,0,0,0,0,37
