,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,k_10GHz
32,0,8.883738895,59.30861336,0,0,0,4.853868933,13.38676452,0,3.276683404,0,0,0,0,0,10.29033089,0,8.37
33,0,10.3442971,61.49656934,0,0,0,5.13214978,15.25491523,0,0,0,0,0,0,0,0,7.772068552,8.68
34,0,9.973571608,61.08104707,0,0,0,4.945884722,14.70236597,0,0,0,0,0,0,0,5.763906368,3.533224264,8.36
35,4.418426371,0,60.35263781,0,0,0,5.178061189,20.32545822,0,0,0,0,0,0,0,6.028294655,3.697121751,8.63
36,0,0,61.31588133,0,2.19895288,0,5.361256545,21.05061082,0,0,0,0,0,0,0,6.244328098,3.828970332,9
37,4.270060092,0,60.01767409,0,0,0,5.005302227,19.66772711,0,0,0,0,0,0,0,11.03923648,0,8.99
38,0,0,60.93500974,0,2.125022136,0,5.177970604,20.34354525,0,0,0,0,0,0,0,11.41845228,0,9.11
39,0,0,61.23671155,0,0,0,5.237420269,20.56343019,0,1.417434444,0,0,0,0,0,11.54500354,0,9.04
40,0,15.90279381,63.1897945,0,0,0,0,18.4281921,0,0,0,0,0,0,0,0,2.47921958,4.76
41,1.462808245,15.7266341,62.49602498,0,0,0,0,17.86013703,0,0,0,0,0,0,0,0,2.454395652,5.03
42,0,17.2959072,57.01739987,5.504486759,0,0,2.949223025,12.16896476,0,0,2.752243379,0,0,0,0,0,2.311775005,5.96
43,0,15.44788228,51.50786102,11.47540984,0,0,2.635259889,11.18726571,0,0,5.737704918,0,0,0,0,0,2.008616349,6.75
44,2.963692038,17.82589676,60.74748469,0,0,0,3.040244969,12.54374453,0,0,0,0,0,0,0,0,2.878937008,6.13
45,0,18.24857221,61.39243949,0,1.463149306,0,3.111231983,12.83655154,0,0,0,0,0,0,0,0,2.94805548,6.12
46,0,13.60622327,62.11499268,0,0,0,3.249418721,16.55423831,0,1.504147889,0,0,0,0,0,0,2.970979131,6.12
47,0,16.86352077,58.51653009,2.684374117,1.350664029,0,2.876518791,11.8649336,0,0,2.463972874,0,0,0,0,0,3.37948573,6.52
48,2.328865831,13.31603978,61.52183312,0,0,0,3.1820147,16.20406399,0,0.489984148,0,0,0,0,0,0,2.957198444,6.33
49,0,0,59.30393788,3.91014975,0,0,1.199389906,25.39517471,0,3.043538547,1.955074875,0,0,0,0,0,5.192734332,6.43
50,0,0,56.06444929,3.801221821,0,0,0,22.24286378,0,8.824264942,5.076631774,0,0,0,0,0,3.990568397,8.08
51,0,0,58.6135254,0,5.574985283,0,0,23.98975034,0,7.950413795,0,0,0,0,0,0,3.871325184,7.56
52,0,0,54.72626473,3.749133749,5.668745669,0,0,21.95426195,0,8.087318087,1.874566875,0,0,0,0,0,3.93970894,7.76
53,0,0,54.51932401,3.719351711,5.624047652,0,0,21.74470148,0,8.630004156,1.859675855,0,0,0,0,0,3.902895138,7.76
54,0,0,54.44518133,3.651087298,5.522007749,0,0,21.36898321,0,8.481971448,1.825543649,0,0,0,0,2.78892806,1.916297253,7.72
55,0,0,56.32296781,3.731587561,2.822331333,0,0,21.81851246,0,4.328059647,7.059465357,0,0,0,0,0,3.917075832,8.4
56,0,0,50.72207792,11.1030303,2.798268398,0,0,21.64502165,0,4.294372294,5.551515152,0,0,0,0,0,3.885714286,7.43
