,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Thermal_Conductivity_RT
378,0,0,56.05117566,0,0,2.385892116,18.74135546,2.731673582,0,0,20.08990318,0,0,0,0,0,0,4.317824164
380,0,0,66.10399295,0.844010576,0,0,0,33.05199647,0,0,0,0,0,0,0,0,0,2.623642645
383,0,0,56.66666667,0,20,0,0,23.33333333,0,0,0,0,0,0,0,0,0,-1.392620673
384,0,0,61.53846154,0,0,0,0,23.07692308,0,0,0,0,0,15.38461538,0,0,0,-2.231435513
412,18.06375443,25.19008264,52.77449823,0,0,0,3.971664699,0,0,0,0,0,0,0,0,0,0,-5.978370008
414,0,7.951070336,62.9969419,0,4.281345566,0.305810398,0.611620795,23.85321101,0,0,0,0,0,0,0,0,0,1.823215568
415,0,0,60.16335695,0,0,9.178182944,2.252932296,19.20024775,0,0,6.189757287,0,0,3.015522781,0,0,0,5.306282511
422,0,1.783904318,58.60193256,0,12.12244071,1.030475032,0.4054328,22.55219947,0,0.837894452,2.59139131,0,0.074329347,0,0,0,0,-0.725706928
423,0,1.921261966,55.2345962,0,18.62612916,0.933665903,0.451665094,19.1013887,0,1.065120669,2.612242146,0,0.05393016,0,0,0,0,-2.484613593
424,0,2.725359874,51.98223172,0,23.82017969,1.045389266,0.374069002,15.40362713,0,2.237734211,2.331251461,0,0.080157643,0,0,0,0,-4.620354596
425,0,3.017255546,54.99424815,0,20.37140509,0.989317995,0.493015612,18.53738702,0,0.315529992,0.151191454,0,0.078882498,1.051766639,0,0,0,-5.978370008
426,0,2.980089075,55.12837307,0,20.46764475,0.785957558,0.451925596,18.86953105,0,0.268535499,0.265260676,0,0.078595756,0,0,0.704086979,0,-6.539264674
